customer-1,product-1,100
customer-2,product-2,300
customer-3,product-3,200
customer-4,product-4,500
customer-5,product-5,700
customer-6,product-6,200
customer-7,product-7,600
customer-8,product-8,900
customer-9,product-9,100
customer-10,product-10,300
customer-1,product-11,200
customer-2,product-12,500
customer-3,product-13,500
customer-4,product-14,700
customer-5,product-15,200
customer-6,product-16,200
customer-7,product-17,600
customer-8,product-18,900
customer-9,product-19,300
customer-10,product-20,200
customer-1,product-21,100
customer-2,product-22,300
customer-3,product-23,200
customer-4,product-24,500
customer-5,product-25,700
customer-6,product-26,200
customer-7,product-27,600
customer-8,product-28,700
customer-9,product-29,200
customer-10,product-30,200
